Id,Expected
0,neutral
1,surprise
2,anger
3,neutral
4,joy
5,non-neutral
6,neutral
7,non-neutral
8,surprise
9,neutral
10,non-neutral
11,neutral
12,neutral
13,neutral
14,non-neutral
15,surprise
16,sadness
17,surprise
18,neutral
19,non-neutral
20,neutral
21,neutral
22,surprise
23,non-neutral
24,joy
25,anger
26,anger
27,non-neutral
28,anger
29,anger
30,anger
31,joy
32,neutral
33,neutral
34,neutral
35,non-neutral
36,neutral
37,neutral
38,surprise
39,neutral
40,neutral
41,joy
42,surprise
43,neutral
44,non-neutral
45,surprise
46,sadness
47,sadness
48,non-neutral
49,neutral
50,neutral
51,neutral
52,neutral
53,neutral
54,neutral
55,neutral
56,surprise
57,joy
58,non-neutral
59,non-neutral
60,non-neutral
61,neutral
62,surprise
63,neutral
64,neutral
65,non-neutral
66,neutral
67,surprise
68,non-neutral
69,joy
70,anger
71,neutral
72,neutral
73,neutral
74,neutral
75,anger
76,surprise
77,surprise
78,joy
79,anger
80,non-neutral
81,surprise
82,neutral
83,joy
84,neutral
85,joy
86,joy
87,neutral
88,neutral
89,neutral
90,neutral
91,neutral
92,neutral
93,neutral
94,non-neutral
95,sadness
96,neutral
97,non-neutral
98,neutral
99,neutral
100,neutral
101,neutral
102,non-neutral
103,surprise
104,joy
105,neutral
106,neutral
107,non-neutral
108,neutral
109,non-neutral
110,neutral
111,neutral
112,non-neutral
113,neutral
114,neutral
115,neutral
116,surprise
117,non-neutral
118,joy
119,joy
120,surprise
121,neutral
122,surprise
123,neutral
124,non-neutral
125,joy
126,neutral
127,joy
128,joy
129,joy
130,neutral
131,surprise
132,non-neutral
133,non-neutral
134,surprise
135,neutral
136,anger
137,neutral
138,neutral
139,neutral
140,neutral
141,neutral
142,joy
143,surprise
144,surprise
145,neutral
146,surprise
147,neutral
148,surprise
149,surprise
150,neutral
151,non-neutral
152,neutral
153,neutral
154,non-neutral
155,neutral
156,neutral
157,non-neutral
158,neutral
159,neutral
160,neutral
161,surprise
162,non-neutral
163,joy
164,surprise
165,anger
166,sadness
167,sadness
168,neutral
169,non-neutral
170,surprise
171,surprise
172,neutral
173,anger
174,non-neutral
175,sadness
176,non-neutral
177,surprise
178,neutral
179,neutral
180,surprise
181,neutral
182,non-neutral
183,neutral
184,neutral
185,surprise
186,surprise
187,neutral
188,sadness
189,neutral
190,neutral
191,neutral
192,non-neutral
193,neutral
194,neutral
195,neutral
196,non-neutral
197,neutral
198,neutral
199,joy
200,joy
201,joy
202,joy
203,neutral
204,neutral
205,non-neutral
206,neutral
207,non-neutral
208,neutral
209,neutral
210,surprise
211,surprise
212,non-neutral
213,neutral
214,neutral
215,neutral
216,neutral
217,neutral
218,neutral
219,sadness
220,non-neutral
221,neutral
222,neutral
223,neutral
224,neutral
225,joy
226,sadness
227,neutral
228,surprise
229,neutral
230,neutral
231,non-neutral
232,neutral
233,joy
234,neutral
235,surprise
236,neutral
237,non-neutral
238,surprise
239,non-neutral
240,neutral
241,disgust
242,surprise
243,anger
244,non-neutral
245,joy
246,neutral
247,neutral
248,sadness
249,non-neutral
250,joy
251,joy
252,joy
253,neutral
254,surprise
255,non-neutral
256,neutral
257,neutral
258,neutral
259,surprise
260,neutral
261,neutral
262,neutral
263,neutral
264,joy
265,anger
266,non-neutral
267,surprise
268,non-neutral
269,anger
270,neutral
271,non-neutral
272,non-neutral
273,neutral
274,anger
275,neutral
276,non-neutral
277,neutral
278,neutral
279,neutral
280,non-neutral
281,neutral
282,joy
283,neutral
284,neutral
285,neutral
286,joy
287,neutral
288,joy
289,joy
290,joy
291,neutral
292,neutral
293,neutral
294,neutral
295,neutral
296,non-neutral
297,neutral
298,neutral
299,neutral
300,neutral
301,sadness
302,neutral
303,neutral
304,neutral
305,surprise
306,non-neutral
307,non-neutral
308,non-neutral
309,neutral
310,neutral
311,anger
312,neutral
313,neutral
314,non-neutral
315,neutral
316,non-neutral
317,non-neutral
318,surprise
319,sadness
320,neutral
321,surprise
322,surprise
323,surprise
324,non-neutral
325,anger
326,anger
327,neutral
328,neutral
329,neutral
330,neutral
331,neutral
332,non-neutral
333,non-neutral
334,neutral
335,disgust
336,non-neutral
337,neutral
338,surprise
339,neutral
340,surprise
341,surprise
342,neutral
343,surprise
344,joy
345,joy
346,joy
347,neutral
348,non-neutral
349,surprise
350,surprise
351,neutral
352,neutral
353,surprise
354,neutral
355,neutral
356,neutral
357,surprise
358,surprise
359,neutral
360,neutral
361,surprise
362,neutral
363,joy
364,neutral
365,neutral
366,surprise
367,neutral
368,neutral
369,non-neutral
370,sadness
371,non-neutral
372,joy
373,neutral
374,neutral
375,neutral
376,neutral
377,neutral
378,joy
379,joy
380,joy
381,neutral
382,neutral
383,joy
384,neutral
385,neutral
386,surprise
387,neutral
388,neutral
389,neutral
390,neutral
391,sadness
392,surprise
393,non-neutral
394,non-neutral
395,surprise
396,non-neutral
397,neutral
398,joy
399,surprise
400,non-neutral
401,joy
402,sadness
403,anger
404,joy
405,non-neutral
406,anger
407,anger
408,non-neutral
409,anger
410,non-neutral
411,non-neutral
412,neutral
413,surprise
414,neutral
415,neutral
416,neutral
417,sadness
418,neutral
419,neutral
420,neutral
421,neutral
422,neutral
423,disgust
424,neutral
425,neutral
426,non-neutral
427,non-neutral
428,non-neutral
429,neutral
430,surprise
431,neutral
432,neutral
433,surprise
434,neutral
435,neutral
436,non-neutral
437,neutral
438,neutral
439,neutral
440,neutral
441,non-neutral
442,non-neutral
443,neutral
444,anger
445,non-neutral
446,non-neutral
447,neutral
448,non-neutral
449,joy
450,neutral
451,neutral
452,neutral
453,surprise
454,sadness
455,neutral
456,neutral
457,neutral
458,non-neutral
459,joy
460,joy
461,non-neutral
462,surprise
463,neutral
464,joy
465,disgust
466,neutral
467,neutral
468,neutral
469,neutral
470,non-neutral
471,neutral
472,surprise
473,anger
474,neutral
475,non-neutral
476,joy
477,joy
478,anger
479,neutral
480,surprise
481,surprise
482,neutral
483,non-neutral
484,joy
485,neutral
486,neutral
487,neutral
488,non-neutral
489,neutral
490,neutral
491,joy
492,surprise
493,anger
494,surprise
495,non-neutral
496,non-neutral
497,non-neutral
498,joy
499,non-neutral
500,neutral
501,neutral
502,joy
503,neutral
504,neutral
505,surprise
506,non-neutral
507,neutral
508,non-neutral
509,neutral
510,neutral
511,neutral
512,neutral
513,neutral
514,sadness
515,surprise
516,non-neutral
517,joy
518,surprise
519,neutral
520,joy
521,surprise
522,neutral
523,neutral
524,neutral
525,non-neutral
526,non-neutral
527,neutral
528,neutral
529,neutral
530,non-neutral
531,non-neutral
532,neutral
533,neutral
534,surprise
535,joy
536,neutral
537,neutral
538,joy
539,neutral
540,surprise
541,non-neutral
542,non-neutral
543,neutral
544,neutral
545,neutral
546,neutral
547,joy
548,neutral
549,joy
550,neutral
551,non-neutral
552,anger
553,joy
554,joy
555,disgust
556,non-neutral
557,neutral
558,surprise
559,neutral
560,non-neutral
561,neutral
562,surprise
563,non-neutral
564,surprise
565,non-neutral
566,joy
567,surprise
568,neutral
569,joy
570,non-neutral
571,neutral
572,neutral
573,joy
574,surprise
575,neutral
576,surprise
577,neutral
578,surprise
579,surprise
580,neutral
581,joy
582,joy
583,joy
584,neutral
585,non-neutral
586,surprise
587,neutral
588,neutral
589,neutral
590,surprise
591,surprise
